Property type,Bedroom,Bathroom,Furnished Status,Carpet Area,Construction Status,Floor No,SquareFeet,Facing,Car Parking,Total Price (INR),Address,BHK
Apartments,1,1,Unfurnished,400,Under Construction,7,605,East,-,"₹ 27,00,000","Kalher, Thane, Maharashtra",1 Bds - 1 Ba - 605 ft2
Apartments,2,2,Unfurnished,672,Ready to Move,21,1100,East,1,"₹ 95,00,000","Vartak Nagar, Thane, Maharashtra",2 Bds - 2 Ba - 1100 ft2
Apartments,1,2,Semi-Furnished,821,Under Construction,18,981,South-East,3+,"₹ 58,71,655","Kolshet Road, Thane, Maharashtra",1 Bds - 2 Ba - 981 ft2
Apartments,1,1,Unfurnished,3,Under Construction,26,477,South-East,0,"₹ 38,00,000","Kalher, Thane, Maharashtra",1 Bds - 1 Ba - 477 ft2
Apartments,3,3,Semi-Furnished,1200,Ready to Move,35,1650,East,2,"₹ 3,30,00,000","Hiranandani Estate, Thane, Maharashtra",3 Bds - 3 Ba - 1650 ft2
Houses & Villas,1,1,Semi-Furnished,231,Ready to Move,-,231,West,1,"₹ 23,00,000","Ghodbunder, Mumbai, Maharashtra",1 Bds - 1 Ba - 231 ft2
Apartments,3,3,Furnished,975,New Launch,7,975,West,-,"₹ 1,30,00,000","Thane West, Thane, Maharashtra",3 Bds - 3 Ba - 975 ft2
Apartments,1,1,Unfurnished,341,Under Construction,37,500,East,0,"₹ 49,99,000","Thane West, Thane, Maharashtra",1 Bds - 1 Ba - 500 ft2
Apartments,2,2,Semi-Furnished,750,Ready to Move,32,1125,East,1,"₹ 1,60,00,000","Majiwada, Thane, Maharashtra",2 Bds - 2 Ba - 1125 ft2
Apartments,3,3,Semi-Furnished,1226,Ready to Move,8,1850,East,2,"₹ 2,55,00,000","Majiwada, Thane, Maharashtra",3 Bds - 3 Ba - 1850 ft2
Apartments,1,1,Unfurnished,450,Ready to Move,18,650,-,-,"₹ 40,00,000","Shilphata Road, Thane, Maharashtra",1 Bds - 1 Ba - 650 ft2
Apartments,1,1,Unfurnished,331,Ready to Move,4,395,East,1,"₹ 15,00,000","Kalwa, Thane, Maharashtra",1 Bds - 1 Ba - 395 ft2
Apartments,2,2,Unfurnished,650,Ready to Move,16,1050,East,0,"₹ 86,00,000","Manpada, Thane, Maharashtra",2 Bds - 2 Ba - 1050 ft2
Apartments,1,1,Semi-Furnished,400,Ready to Move,3,590,West,1,"₹ 25,00,000","Kalher Village, Bhiwandi, Maharashtra",1 Bds - 1 Ba - 590 ft2
Builder Floors,1,1,Semi-Furnished,510,Ready to Move,7,600,North-West,1,"₹ 91,00,000","Wagle Estate, Thane, Maharashtra",1 Bds - 1 Ba - 600 ft2
Apartments,2,2,Unfurnished,700,Ready to Move,13,1050,West,1,"₹ 98,00,000","Manpada, Thane, Maharashtra",2 Bds - 2 Ba - 1050 ft2
Apartments,1,1,Unfurnished,444,Ready to Move,30,550,North-East,1,"₹ 42,00,000","Majiwada, Thane, Maharashtra",1 Bds - 1 Ba - 550 ft2
Apartments,2,2,Unfurnished,534,Under Construction,7,822,-,-,"₹ 32,88,000","Kasheli Village, Bhiwandi, Maharashtra",2 Bds - 2 Ba - 822 ft2
Apartments,-,1,Unfurnished,280,Ready to Move,3,395,East,1,"₹ 17,00,000","Kasheli Village, Bhiwandi, Maharashtra",-
Apartments,2,2,Semi-Furnished,640,Ready to Move,33,1000,East,1,"₹ 1,03,00,000","Majiwada, Thane, Maharashtra",2 Bds - 2 Ba - 1000 ft2
Apartments,2,-,-,624,-,-,730,-,-,"₹ 63,02,000","Thane West, Thane, Maharashtra",-
Builder Floors,2,2,Furnished,790,Ready to Move,6,750,-,0,"₹ 1,20,00,000","Tembhi Naka, Thane, Maharashtra",2 Bds - 2 Ba - 750 ft2
Apartments,3,3,Unfurnished,771,Under Construction,7,1187,-,-,"₹ 47,48,000","Kasheli, Thane, Maharashtra",3 Bds - 3 Ba - 1187 ft2
Apartments,1,1,Semi-Furnished,550,Ready to Move,2,670,North,2,"₹ 94,99,999","Thane West, Thane, Maharashtra",1 Bds - 1 Ba - 670 ft2
Apartments,1,2,Unfurnished,403,Under Construction,7,621,-,-,"₹ 24,84,000","Kopri Colony, Thane, Maharashtra",1 Bds - 2 Ba - 621 ft2
Apartments,3,3,Unfurnished,771,Under Construction,7,1187,-,-,"₹ 47,48,000","Kasheli Village, Bhiwandi, Maharashtra",3 Bds - 3 Ba - 1187 ft2
Apartments,-,1,Semi-Furnished,270,Ready to Move,3,385,East,1,"₹ 17,00,000","Kasheli Village, Bhiwandi, Maharashtra",-
Apartments,3,3,Unfurnished,1100,Ready to Move,33,1500,East,2,"₹ 2,50,00,000","Kapurbawdi, Thane, Maharashtra",3 Bds - 3 Ba - 1500 ft2
Apartments,1,2,Unfurnished,30,Ready to Move,20,650,West,0,"₹ 55,00,000","Manpada, Thane, Maharashtra",1 Bds - 2 Ba - 650 ft2
Builder Floors,2,2,Unfurnished,750,Under Construction,19,1000,-,-,"₹ 64,00,000","Mumbra Bypass Rd, Thane, Maharashtra",2 Bds - 2 Ba - 1000 ft2
Apartments,2,2,Unfurnished,650,Ready to Move,25,1050,East,1,"₹ 95,00,000","Manpada, Thane, Maharashtra",2 Bds - 2 Ba - 1050 ft2
Apartments,2,2,Unfurnished,750,Ready to Move,30,1110,South,1,"₹ 81,00,000","Shilphata Road, Thane, Maharashtra",2 Bds - 2 Ba - 1110 ft2
Apartments,2,2,Unfurnished,611,Under Construction,7,941,-,-,"₹ 37,64,000","Kalher Village, Bhiwandi, Maharashtra",2 Bds - 2 Ba - 941 ft2
Apartments,1,2,Furnished,470,Ready to Move,30,650,North-East,2,"₹ 75,00,000","Kolshet Road, Thane, Maharashtra",1 Bds - 2 Ba - 650 ft2
Apartments,2,2,Unfurnished,640,Ready to Move,42,940,North-East,1,"₹ 1,50,00,000","Vartak Nagar, Thane, Maharashtra",2 Bds - 2 Ba - 940 ft2
Apartments,1,1,Semi-Furnished,530,Ready to Move,8,640,North-East,1,"₹ 65,00,000","Kalwa, Thane, Maharashtra",1 Bds - 1 Ba - 640 ft2
Apartments,1,2,Semi-Furnished,450,Ready to Move,7,650,East,1,"₹ 65,00,000","Manpada, Thane, Maharashtra",1 Bds - 2 Ba - 650 ft2
Apartments,1,2,Semi-Furnished,450,Ready to Move,19,710,East,0,"₹ 61,00,000","Ghodbuder Road, Thane, Maharashtra",1 Bds - 2 Ba - 710 ft2
Apartments,2,2,Semi-Furnished,785,Ready to Move,30,1250,East,1,"₹ 45,000","Majiwada, Thane, Maharashtra",2 Bds - 2 Ba - 1250 ft2
Apartments,1,2,Furnished,720,-,4,800,North,1,"₹ 67,00,000","Kalwa, Thane, Maharashtra",1 Bds - 2 Ba - 800 ft2
Apartments,2,2,Unfurnished,611,Under Construction,7,941,-,-,"₹ 37,64,000","Manpada, Thane, Maharashtra",2 Bds - 2 Ba - 941 ft2
Apartments,1,1,Unfurnished,385,Under Construction,26,550,East,0,"₹ 43,00,000","Kalher, Thane, Maharashtra",1 Bds - 1 Ba - 550 ft2
Apartments,2,2,Semi-Furnished,700,Ready to Move,7,1000,East,0,"₹ 79,00,000","Brahmand, Thane, Maharashtra",2 Bds - 2 Ba - 1000 ft2
Apartments,2,2,Unfurnished,525,Ready to Move,7,788,East,0,"₹ 53,00,000","Kalher, Thane, Maharashtra",2 Bds - 2 Ba - 788 ft2
Apartments,2,2,Unfurnished,534,Under Construction,7,822,-,-,"₹ 32,88,000","Majiwada, Thane, Maharashtra",2 Bds - 2 Ba - 822 ft2
Apartments,3,3,Unfurnished,771,-,7,1187,-,-,"₹ 47,48,000","Kalher, Thane, Maharashtra",3 Bds - 3 Ba - 1187 ft2
Apartments,2,2,Unfurnished,572,Ready to Move,30,650,North-East,1,"₹ 60,00,000","Majiwada, Thane, Maharashtra",2 Bds - 2 Ba - 650 ft2
Apartments,1,1,Furnished,280,Ready to Move,79,300,North-West,3+,"₹ 20,000","Thane West, Thane, Maharashtra",1 Bds - 1 Ba - 300 ft2
Apartments,-,-,Unfurnished,200,-,2,220,-,-,"₹ 14,50,000","Kopri Colony, Thane, Maharashtra",-
Apartments,2,2,Unfurnished,611,Under Construction,7,941,-,-,"₹ 37,64,000","Kopri Colony, Thane, Maharashtra",2 Bds - 2 Ba - 941 ft2
Apartments,3,3,Unfurnished,759,Ready to Move,30,900,North-East,1,"₹ 78,00,000","Majiwada, Thane, Maharashtra",3 Bds - 3 Ba - 900 ft2
Apartments,2,2,Unfurnished,534,Under Construction,7,822,-,-,"₹ 32,88,000","Majiwada, Thane, Maharashtra",2 Bds - 2 Ba - 822 ft2
Apartments,2,2,Unfurnished,534,Under Construction,7,822,-,-,"₹ 32,88,000","Kalher Village, Bhiwandi, Maharashtra",2 Bds - 2 Ba - 822 ft2
Apartments,1,1,Semi-Furnished,450,Ready to Move,9,650,East,1,"₹ 60,00,000","Manpada, Thane, Maharashtra",1 Bds - 1 Ba - 650 ft2
Apartments,2,2,Unfurnished,650,Ready to Move,34,1050,East,1,"₹ 95,00,000","Vartak Nagar, Thane, Maharashtra",2 Bds - 2 Ba - 1050 ft2
Apartments,3,3,Semi-Furnished,1100,Ready to Move,20,1450,North-East,1,"₹ 2,20,00,000","Brahmand, Thane, Maharashtra",3 Bds - 3 Ba - 1450 ft2
Apartments,1,2,Unfurnished,480,Under Construction,50,700,East,1,"₹ 79,00,000","Manpada, Thane, Maharashtra",1 Bds - 2 Ba - 700 ft2
Apartments,3,3,Semi-Furnished,1150,Ready to Move,29,1550,East,2,"₹ 1,85,00,000","Majiwada, Thane, Maharashtra",3 Bds - 3 Ba - 1550 ft2
Apartments,1,1,Unfurnished,430,Ready to Move,7,630,North-East,1,"₹ 60,00,000","Ghodbunder, Mumbai, Maharashtra",1 Bds - 1 Ba - 630 ft2
Apartments,3,3,Furnished,1266,Ready to Move,8,1800,East,2,"₹ 2,89,00,000","Kolshet Road, Thane, Maharashtra",3 Bds - 3 Ba - 1800 ft2
Builder Floors,3,3,Unfurnished,957,Under Construction,30,1400,East,1,"₹ 1,26,00,000","Majiwada, Thane, Maharashtra",3 Bds - 3 Ba - 1400 ft2
Apartments,2,2,Unfurnished,676,Under Construction,24,950,East,1,"₹ 79,00,000","Kolshet, Thane, Maharashtra",2 Bds - 2 Ba - 950 ft2
Apartments,1,1,Unfurnished,340,Ready to Move,4,410,East,3+,"₹ 50,00,000","Kolshet Road, Thane, Maharashtra",1 Bds - 1 Ba - 410 ft2
Apartments,1,1,Unfurnished,480,Ready to Move,35,600,North-East,1,"₹ 1,20,00,000","Majiwada, Thane, Maharashtra",1 Bds - 1 Ba - 600 ft2
Apartments,3,3,Unfurnished,771,Under Construction,7,1187,-,-,"₹ 47,48,000","Majiwada, Thane, Maharashtra",3 Bds - 3 Ba - 1187 ft2
Apartments,3,3,Unfurnished,1039,Under Construction,40,1650,East,2,"₹ 1,78,00,000","Brahmand, Thane, Maharashtra",3 Bds - 3 Ba - 1650 ft2
Apartments,3,3,Unfurnished,1167,Ready to Move,20,1390,East,1,"₹ 55,00,000","Thane West, Thane, Maharashtra",3 Bds - 3 Ba - 1390 ft2
Apartments,3,3,Unfurnished,771,Under Construction,7,1187,-,-,"₹ 47,48,000","Kalher Village, Bhiwandi, Maharashtra",3 Bds - 3 Ba - 1187 ft2
Apartments,1,2,Unfurnished,403,Under Construction,7,621,-,-,"₹ 24,84,000","Kapurbawdi, Thane, Maharashtra",1 Bds - 2 Ba - 621 ft2
Apartments,-,1,Unfurnished,280,Ready to Move,6,350,South-West,1,"₹ 30,00,000","Ghodbunder, Mumbai, Maharashtra",-
Apartments,1,1,Unfurnished,566,Ready to Move,20,566,-,1,"₹ 1,35,00,000","Panch Pakhadi, Thane, Maharashtra",1 Bds - 1 Ba - 566 ft2
Houses & Villas,-,1,Unfurnished,250,Ready to Move,-,250,-,-,"₹ 16,50,000","Kalwa, Thane, Maharashtra",-
Apartments,1,2,Unfurnished,403,Under Construction,7,621,-,-,"₹ 24,84,000","Majiwada, Thane, Maharashtra",1 Bds - 2 Ba - 621 ft2
Apartments,2,2,Furnished,803,Ready to Move,7,1090,North-East,1,"₹ 80,00,000","Thane West, Thane, Maharashtra",2 Bds - 2 Ba - 1090 ft2
Apartments,2,2,Semi-Furnished,750,Ready to Move,8,1200,East,1,"₹ 1,70,00,000","Teen Hath Naka, Thane, Maharashtra",2 Bds - 2 Ba - 1200 ft2
Builder Floors,3,3,Semi-Furnished,758,Under Construction,24,1150,West,1,"₹ 94,90,000","Majiwada, Thane, Maharashtra",3 Bds - 3 Ba - 1150 ft2
Apartments,2,2,Unfurnished,650,Ready to Move,7,990,East,0,"₹ 72,00,000","Manpada, Thane, Maharashtra",2 Bds - 2 Ba - 990 ft2
Apartments,1,2,Unfurnished,403,Under Construction,7,621,-,-,"₹ 24,84,000","Majiwada, Thane, Maharashtra",1 Bds - 2 Ba - 621 ft2
Apartments,3,2,Furnished,900,Ready to Move,16,1200,West,1,"₹ 1,30,00,000","Manpada, Thane, Maharashtra",3 Bds - 2 Ba - 1200 ft2
Apartments,2,2,Unfurnished,687,Ready to Move,26,950,East,2,"₹ 1,26,00,000","Hiranandani Meadows, Thane, Maharashtra",2 Bds - 2 Ba - 950 ft2
Apartments,1,1,Unfurnished,450,Ready to Move,31,650,East,1,"₹ 69,00,000","Ghodbuder Road, Thane, Maharashtra",1 Bds - 1 Ba - 650 ft2
Apartments,1,2,Unfurnished,475,Ready to Move,21,600,East,1,"₹ 70,00,000","Vartak Nagar, Thane, Maharashtra",1 Bds - 2 Ba - 600 ft2
Apartments,3,3,Unfurnished,771,Under Construction,7,1187,-,-,"₹ 47,48,000","Kasheli, Thane, Maharashtra",3 Bds - 3 Ba - 1187 ft2
Apartments,1,1,Unfurnished,340,Ready to Move,3,485,East,1,"₹ 19,00,000","Kasheli Village, Bhiwandi, Maharashtra",1 Bds - 1 Ba - 485 ft2
Apartments,2,2,Unfurnished,600,Ready to Move,25,1000,-,0,"₹ 87,00,000","Ghodbuder Road, Thane, Maharashtra",2 Bds - 2 Ba - 1000 ft2
Apartments,1,1,Semi-Furnished,480,Ready to Move,7,650,West,0,"₹ 60,00,000","Manpada, Thane, Maharashtra",1 Bds - 1 Ba - 650 ft2
Apartments,2,2,Unfurnished,522,Under Construction,17,700,East,0,"₹ 1,30,50,000","Thane East, Thane, Maharashtra",2 Bds - 2 Ba - 700 ft2
Apartments,1,2,Unfurnished,450,Ready to Move,21,600,East,0,"₹ 43,00,000","Ghodbuder Road, Thane, Maharashtra",1 Bds - 2 Ba - 600 ft2
Apartments,2,2,Semi-Furnished,620,Ready to Move,29,950,East,1,"₹ 1,65,00,000","Hiranandani Estate, Thane, Maharashtra",2 Bds - 2 Ba - 950 ft2
Apartments,2,2,Unfurnished,611,Under Construction,7,941,-,-,"₹ 37,64,000","Kalwa, Thane, Maharashtra",2 Bds - 2 Ba - 941 ft2
Houses & Villas,1,1,Semi-Furnished,180,Ready to Move,1,220,North-West,0,"₹ 12,00,000","Lokmanya Nagar, Thane, Maharashtra",1 Bds - 1 Ba - 220 ft2
Apartments,1,1,Semi-Furnished,260,Ready to Move,4,340,North-East,0,"₹ 35,00,000","Thane East, Thane, Maharashtra",1 Bds - 1 Ba - 340 ft2
Apartments,1,1,Unfurnished,450,Ready to Move,4,630,-,0,"₹ 22,00,000","Thane West, Thane, Maharashtra",1 Bds - 1 Ba - 630 ft2
Apartments,2,2,Unfurnished,534,Under Construction,7,822,-,-,"₹ 32,88,000","Kasheli Village, Bhiwandi, Maharashtra",2 Bds - 2 Ba - 822 ft2
Apartments,3,3,Semi-Furnished,1160,Ready to Move,18,1650,East,2,"₹ 2,35,00,000","Majiwada, Thane, Maharashtra",3 Bds - 3 Ba - 1650 ft2
Apartments,2,2,Semi-Furnished,700,Ready to Move,16,1050,East,1,"₹ 97,00,000","Manpada, Thane, Maharashtra",2 Bds - 2 Ba - 1050 ft2
Apartments,1,1,Unfurnished,450,Under Construction,7,585,West,1,"₹ 36,00,000","Mumbra Bypass Rd, Thane, Maharashtra",1 Bds - 1 Ba - 585 ft2
Apartments,1,2,Semi-Furnished,385,Under Construction,18,687,South-East,3+,"₹ 36,07,585","Kalher, Thane, Maharashtra",1 Bds - 2 Ba - 687 ft2
Apartments,2,2,Unfurnished,722,-,42,980,East,1,"₹ 1,29,00,000","Kolshet Road, Thane, Maharashtra",2 Bds - 2 Ba - 980 ft2
Apartments,2,2,Unfurnished,580,Under Construction,40,1050,East,1,"₹ 98,00,000","Vartak Nagar, Thane, Maharashtra",2 Bds - 2 Ba - 1050 ft2
Apartments,1,1,Unfurnished,400,New Launch,19,674,North-East,0,"₹ 40,00,060","Mumbra Bypass Rd, Thane, Maharashtra",1 Bds - 1 Ba - 674 ft2
Apartments,3,3,Furnished,948,Ready to Move,4,1300,East,0,"₹ 78,20,000","Kasheli, Thane, Maharashtra",3 Bds - 3 Ba - 1300 ft2
Apartments,1,1,Unfurnished,350,Under Construction,12,650,East,1,"₹ 35,00,000","Manpada, Thane, Maharashtra",1 Bds - 1 Ba - 650 ft2
Apartments,2,2,Unfurnished,534,Under Construction,7,822,-,-,"₹ 32,88,000","Manpada, Thane, Maharashtra",2 Bds - 2 Ba - 822 ft2
Apartments,1,1,Unfurnished,446,Under Construction,19,660,East,0,"₹ 37,00,000","Shailesh Nagar, Thane, Maharashtra",1 Bds - 1 Ba - 660 ft2
Apartments,-,1,Semi-Furnished,250,Ready to Move,5,250,East,-,"₹ 20,00,000","Pokharan, Thane, Maharashtra",-
Farm Houses,1,1,Furnished,145,Ready to Move,1,160,East,0,"₹ 3,75,000","Ghodbuder Road, Thane, Maharashtra",1 Bds - 1 Ba - 160 ft2
Apartments,4,4,Semi-Furnished,1500,Under Construction,33,2250,North,2,"₹ 2,60,00,000","Kolshet Road, Thane, Maharashtra",4 Bds - 4 Ba - 2250 ft2
Apartments,1,1,Unfurnished,425,Ready to Move,1,550,South,1,"₹ 29,00,000","Manesha Nagar, Thane, Maharashtra",1 Bds - 1 Ba - 550 ft2
Apartments,-,2,Unfurnished,403,Under Construction,7,621,-,-,"₹ 24,84,000","Kopri Colony, Thane, Maharashtra",-
Apartments,2,2,Semi-Furnished,535,Ready to Move,26,700,North,1,"₹ 89,00,000","Kolshet Road, Thane, Maharashtra",2 Bds - 2 Ba - 700 ft2
Apartments,1,1,Unfurnished,400,Ready to Move,4,470,East,1,"₹ 4,00,000","Kalher, Thane, Maharashtra",1 Bds - 1 Ba - 470 ft2
Apartments,2,2,Semi-Furnished,1000,Under Construction,26,1250,North-East,1,"₹ 77,00,000","Kolshet Road, Thane, Maharashtra",2 Bds - 2 Ba - 1250 ft2
Apartments,2,2,Furnished,610,Ready to Move,3,800,West,1,"₹ 1,21,00,000","Thane East, Thane, Maharashtra",2 Bds - 2 Ba - 800 ft2
Apartments,3,3,Unfurnished,771,Under Construction,7,1187,-,-,"₹ 47,48,000","Kopri Colony, Thane, Maharashtra",3 Bds - 3 Ba - 1187 ft2
Apartments,2,2,Semi-Furnished,675,Ready to Move,56,1200,East,1,"₹ 3,50,00,000","Majiwada, Thane, Maharashtra",2 Bds - 2 Ba - 1200 ft2
Apartments,2,2,Unfurnished,611,Under Construction,7,941,-,-,"₹ 37,64,000","Kasheli, Thane, Maharashtra",2 Bds - 2 Ba - 941 ft2
Apartments,1,2,Semi-Furnished,414,New Launch,30,472,North-East,1,"₹ 96,00,000","Kolshet Road, Thane, Maharashtra",1 Bds - 2 Ba - 472 ft2
Apartments,1,1,Unfurnished,367,Under Construction,16,610,West,1,"₹ 32,34,000","Kasheli, Thane, Maharashtra",1 Bds - 1 Ba - 610 ft2
Apartments,1,1,Semi-Furnished,450,Ready to Move,4,500,East,0,"₹ 50,00,000","Kalwa, Thane, Maharashtra",1 Bds - 1 Ba - 500 ft2
Apartments,1,1,Furnished,580,Ready to Move,4,580,West,1,"₹ 69,00,000","Kalwa, Thane, Maharashtra",1 Bds - 1 Ba - 580 ft2
Apartments,3,2,Unfurnished,903,Ready to Move,18,1075,East,1,"₹ 40,00,000","Thane West, Thane, Maharashtra",3 Bds - 2 Ba - 1075 ft2
Apartments,3,3,Semi-Furnished,1433,Ready to Move,28,2500,East,2,"₹ 4,00,00,000","Hiranandani Estate, Thane, Maharashtra",3 Bds - 3 Ba - 2500 ft2
Apartments,1,1,Unfurnished,480,Ready to Move,7,610,East,0,"₹ 70,00,000","Kalwa, Thane, Maharashtra",1 Bds - 1 Ba - 610 ft2
Apartments,2,2,Unfurnished,750,Under Construction,33,1100,East,1,"₹ 1,49,00,000","Hiranandani Meadows, Thane, Maharashtra",2 Bds - 2 Ba - 1100 ft2
-,-,-,-,-,-,-,-,-,-,-,-,-
Apartments,2,2,Semi-Furnished,625,Ready to Move,42,950,East,1,"₹ 79,00,000","Ghodbuder Road, Thane, Maharashtra",2 Bds - 2 Ba - 950 ft2
Apartments,2,2,Unfurnished,771,Ready to Move,33,1100,East,1,"₹ 1,24,00,000","Hiranandani Estate, Thane, Maharashtra",2 Bds - 2 Ba - 1100 ft2
Apartments,1,1,Unfurnished,660,Ready to Move,8,660,West,0,"₹ 16,00,000","Shilphata Road, Thane, Maharashtra",1 Bds - 1 Ba - 660 ft2
Apartments,2,2,Semi-Furnished,647,New Launch,23,1000,East,0,"₹ 62,00,000","Shilphata Road, Thane, Maharashtra",2 Bds - 2 Ba - 1000 ft2
Apartments,1,1,Unfurnished,450,Ready to Move,20,480,North-East,1,"₹ 57,00,000","Thane West, Thane, Maharashtra",1 Bds - 1 Ba - 480 ft2
Apartments,2,2,Semi-Furnished,600,Ready to Move,30,900,East,1,"₹ 95,00,000","Ghodbuder Road, Thane, Maharashtra",2 Bds - 2 Ba - 900 ft2
Apartments,1,2,Semi-Furnished,325,Ready to Move,4,325,-,0,"₹ 14,20,000","Mumbra, Thane, Maharashtra",1 Bds - 2 Ba - 325 ft2
Apartments,1,2,Semi-Furnished,430,Ready to Move,22,650,West,0,"₹ 65,00,000","Ghodbuder Road, Thane, Maharashtra",1 Bds - 2 Ba - 650 ft2
Apartments,3,3,Unfurnished,675,Ready to Move,30,800,North-East,1,"₹ 60,00,000","Majiwada, Thane, Maharashtra",3 Bds - 3 Ba - 800 ft2
Apartments,1,2,Unfurnished,478,Under Construction,7,736,-,-,"₹ 29,44,000","Kopri Colony, Thane, Maharashtra",1 Bds - 2 Ba - 736 ft2
Apartments,2,2,Semi-Furnished,605,Under Construction,27,839,South-East,3+,"₹ 1,27,49,866","Majiwada, Thane, Maharashtra",2 Bds - 2 Ba - 839 ft2
Apartments,2,2,Furnished,750,Ready to Move,35,900,East,1,"₹ 1,10,00,000","Pokharan, Thane, Maharashtra",2 Bds - 2 Ba - 900 ft2
Apartments,1,2,Unfurnished,403,Under Construction,7,621,-,-,"₹ 24,84,000","Kapurbawdi, Thane, Maharashtra",1 Bds - 2 Ba - 621 ft2
Apartments,2,2,Unfurnished,611,Under Construction,7,941,-,-,"₹ 37,64,000","Kalher, Thane, Maharashtra",2 Bds - 2 Ba - 941 ft2
Apartments,3,3,Unfurnished,1150,Ready to Move,40,1500,East,2,"₹ 2,39,00,000","Kolshet Road, Thane, Maharashtra",3 Bds - 3 Ba - 1500 ft2
Apartments,1,1,Semi-Furnished,270,Ready to Move,4,359,East,0,"₹ 45,00,000","Dhokali, Thane, Maharashtra",1 Bds - 1 Ba - 359 ft2
